time;seconds_elapsed;z;y;x;target
1682350000000000000,00;1851410000000000,00;11742800000000000,00;-2727650000000000,00;14908900000000000,00;gehen
1682350000000000000,00;1861410000000000,00;14758900000000000,00;-2761030000000000,00;14165200000000000,00;gehen
1682350000000000000,00;1871400000000000,00;1796390000000000,00;-28264300000000000,00;13199200000000000,00;gehen
1682350000000000000,00;1881400000000000,00;20870400000000,00;-28914500000000000,00;11578300000000000,00;gehen
1682350000000000000,00;18914000000000,00;23388900000000000,00;-2943020000000000,00;9994980000000000,00;gehen
1682350000000000000,00;1901400000000000,00;25930700000000000,00;-29443500000000000,00;8701940000000000,00;gehen
1682350000000000000,00;191140000000000,00;28052100000000000,00;-294625000000000,00;7306690000000000,00;gehen
1682350000000000000,00;1921400000000000,00;29567800000000000,00;-29083700000000000,00;6220850000000000,00;gehen
1682350000000000000,00;1931400000000,00;3088060000000000,00;-28349600000000000,00;5747700000000000,00;gehen
1682350000000000000,00;194140000000000,00;3157100000000000,00;-28087000000000000,00;6153240000000000,00;gehen
1682350000000000000,00;195139000000000,00;3124870000000000,00;-28372300000000000,00;7056670000000000,00;gehen
1682350000000000000,00;1961390000000,00;2983610000000000,00;-27788900000000000,00;7492260000000000,00;gehen
1682350000000000000,00;1971390000000000,00;2764180000000000,00;-27302700000000000,00;802427000000000,00;gehen
1682350000000000000,00;1981390000000000,00;26605200000000000,00;-2725120000000000,00;9445670000000000,00;gehen
1682350000000000000,00;1991390000000000,00;2665120000000000,00;-27703800000000000,00;11438900000000000,00;gehen
1682350000000000000,00;20013900000000,00;2853880000000000,00;-28592100000000000,00;1352540000000000,00;gehen
1682350000000000000,00;201139000000000,00;32289900000000000,00;-3006380000000000,00;14902300000000000,00;gehen
1682350000000000000,00;202139000000000,00;3691390000000000,00;-32021800000000000,00;1521630000000000,00;gehen
1682350000000000000,00;2031380000000000,00;4161930000000000,00;-3452470000000000,00;1488980000000000,00;gehen
1682350000000000000,00;2041380000000000,00;4541790000000000,00;-37684100000000000,00;13810100000000000,00;gehen
1682350000000000000,00;205138000000000,00;474355000000000,00;-4121460000000000,00;1258320000000000,00;gehen
1682350000000000000,00;2061380000000000,00;4748140000000000,00;-4358790000000000,00;9893540000000000,00;gehen
1682350000000000000,00;207138000000,00;4538540000000000,00;-4425690000000000,00;7269630000000000,00;gehen
1682350000000000000,00;2081380000000000,00;40148800000000000,00;-44645200000000000,00;5395560000000000,00;gehen
1682350000000000000,00;2091380000000000,00;3149670000000000,00;-443989000000000,00;4379450000000000,00;gehen
1682350000000000000,00;2101380000000000,00;20645100000000000,00;-4282870000000000,00;4138150000000000,00;gehen
1682350000000000000,00;2111370000000000,00;8825980000000000,00;-4091290000000000,00;5403740000000000,00;gehen
1682350000000000000,00;212137000000000,00;-3160570000000000,00;-39473600000000000,00;6882770000000000,00;gehen
1682350000000000000,00;213137000000,00;-6957840000000000,00;-38215300000000000,00;9159770000000000,00;gehen
1682350000000000000,00;21413700000000,00;-10680100000000000,00;-36937700000000000,00;1088520000000000,00;gehen
1682350000000000000,00;215137000000000,00;-11374300000000000,00;-35855000000000000,00;12865700000000000,00;gehen
